Film|Actors
M*A*S*H|
Le Messager|
La classe ouvrière va au paradis|
L'Affaire Mattei|
La Méprise|
L'Épouvantail|
Conversation secrète|
Chronique des années de braise|
Taxi Driver|
Padre padrone|
L'Arbre aux sabots|
Apocalypse Now|
Le Tambour|
Que le spectacle commence|
Kagemusha, l'ombre du guerrier|
L'Homme de fer|
Missingnote|
Yol, la permission|
La Ballade de Narayama|
Paris, Texasnote |
Papa est en voyage d'affaires|
Mission|
Sous le soleil de Satan|
Pelle le Conquérant|
Sexe, Mensonges et Vidéo|
|
|
|
Sailor et Lula|Nicolas Cage
Sailor et Lula|Laura Dern
|
|
|
|
Barton Finknote |John Turturro
Barton Finknote |John Goodman
Barton Finknote |Michael Lerner
Barton Finknote |Steve Buscemi
Barton Finknote |Judy Davis
|
Les Meilleures Intentions|Samuel Fröler
Les Meilleures Intentions|Pernilla August
Les Meilleures Intentions|Max von Sydow
Les Meilleures Intentions|Ghita Nørby
|
|
Adieu ma concubine|Leslie Cheung
Adieu ma concubine|Zhang Fengyi
Adieu ma concubine|Gong Li
|
|
|
La Leçon de piano|Holly Hunter
La Leçon de piano|Harvey Keitel
La Leçon de piano|Anna Paquin
La Leçon de piano|Sam Neill
|
|
Pulp Fiction|John Travolta
Pulp Fiction|Samuel L. Jackson
Pulp Fiction|Bruce Willis
Pulp Fiction|Uma Thurman
|
|
Underground|Miki Manojlović 
Underground|Lazar Ristovski
Underground|Mirjana Joković
Underground|Slavko Štimac
|
Secrets et Mensonges|Brenda Blethyn
Secrets et Mensonges|Marianne Jean-Baptiste
Secrets et Mensonges|Timothy Spall
|
Le Goût de la cerise|Homayun Ershadi
Le Goût de la cerise|Abdolrahman Bagheri
|
|
L'Anguille|Kōji Yakusho
L'Anguille|Misa Shimizu
|
|
|
L'Éternité et Un Jour|Bruno Ganz
|Isabelle Renauld
|
|
|
Rosetta|Émilie Dequenne
Rosetta|Fabrizio Rongione
Rosetta|Anne Yernaux 
Rosetta|Olivier Gourmet
|
|
|
Dancer in the Dark|Björk
Dancer in the Dark|Catherine Deneuve
Dancer in the Dark|Vladica Kostic
Dancer in the Dark|David Morse
Dancer in the Dark|Cara Seymour
Dancer in the Dark|Peter Stormare
|
|
La Chambre du fils|Nanni Moretti
La Chambre du fils|Laura Morante
La Chambre du fils|Jasmine Trinca
|
|
|
Le Pianiste|Adrien Brody
Le Pianiste|Thomas Kretschmann
|
|
|
|
Elephant|Alex Frost, Eric Deulen
Elephant|Alicia Miles, John Robinson
Elephant|Elias McConnell (en)
Elephant|Carrie Finklea, Nathan Tyson
Elephant|Kristen Hicks
|
Fahrenheit 9/11|Michael Moore
Fahrenheit 9/11|George W. Bush
Fahrenheit 9/11|Al Gore
Fahrenheit 9/11|Donald Rumsfeld
|
L'Enfant|Jérémie Renier
L'Enfant|Déborah François
L'Enfant|Samuel De Ryck
|
|
Le vent se lève|Cillian Murphy
Le vent se lève|Padraic Delaney
Le vent se lève|Liam Cunningham
|
|
4 mois, 3 semaines, 2 jours|Anamaria Marinca
4 mois, 3 semaines, 2 jours|Laura Vasiliu 
4 mois, 3 semaines, 2 jours|Vlad Ivanov
|
Entre les murs|François Bégaudeau
|
|
Le Ruban blanc|Susanne Lothar
Le Ruban blanc|Ulrich Tukur
|
|
Oncle Boonmee, celui qui se souvient de ses vies antérieures|Thanapat Saisaymar
Oncle Boonmee, celui qui se souvient de ses vies antérieures|Jenjira Pongpas
Oncle Boonmee, celui qui se souvient de ses vies antérieures|Sakda Kaewbuadee
|
|
The Tree of Life|Brad Pitt
The Tree of Life|Jessica Chastain
The Tree of Life|Sean Penn
|
|
|
Amour|Jean-Louis Trintignant
Amour|Emmanuelle Riva
Amour|Isabelle Huppert
|
|
La Vie d'Adèle|Adèle Exarchopoulos
La Vie d'Adèle|Léa Seydoux
|
|
|
Winter Sleep|Haluk Bilginer
Winter Sleep|Demet Akbağ
Winter Sleep|Melisa Sözen
|
|
Dheepan|Antonythasan Jesuthasan
|
|
|
Moi, Daniel Blake|Dave Johns
Moi, Daniel Blake|Hayley Squires
|
|
|
|
The Square|Claes Bang
The Square|Elisabeth Moss
The Square|Dominic West
The Square|Terry Notary
|
|
Une affaire de famille|Lily Franky
Une affaire de famille|Sakura Andō
Une affaire de famille|Mayu Matsuoka
Une affaire de famille|Kirin Kiki
|
|
|
Le Livre d'image (« Palme d'or spéciale »)|
Parasite|Song Kang-ho
Parasite|Lee Sun-kyun
Parasite|Cho Yeo-jeong
Parasite|Jang Hye-jin
Parasite|Choi Wooshik
Parasite|Park So-dam
