Num_Film;Titre ;Annee;Duree;Num real 
1;Shining;1980;1h59;1
2;The Thing;1982;1h44;2
3;La Mouche;1986;1h36;3
4;La Maison des 1000 morts;2003;1h29;4
5;Audition;1999;1h55;5
6;La colline a des yeux;2006;1h47;6
7;It Follows;2014;1h40;7
8;The Descent;2005;1h49;8
9;Massacre à la tronçonneuse;1974;1h23;9
10;L'Exorciste;1973;2h02;10
11;L'Échelle de Jacob;1990;1h53;11
12;Les Griffes de la nuit;1984;1h31;12
13;Evil Dead 2;1987;1h24;13
14;Mister Babadook ;2014;1h32;14
15;Hellraiser : Le Pacte;1987;1h34;15
16;Au-delà du réel;1980;1h42;16
17;Haute Tension;2003;1h31;17
18;[REC];2007;1h19;18
19;Martyrs;2008;1h39;19
20;Psychose;1960;1h49;20
