Année|Titre|Récipiendaires|Pays
1939|Pacific Express (Palme d'or rétrospectivenote 1,note 2)|Cecil B. DeMille|USA
1946|Tourments|Alf Sjöberg|Suède
1946|Le Poison|Billy Wilder|USA
1946|La terre sera rouge|Bodil Ipsen et Lau Lauritzen Jr.|Danemark
1946|La Ville basse|Chetan Anand|Inde
1946|Brève Rencontre|David Lean|Royaume-Uni
1946|María Candelaria|Emilio Fernández|Maxique
1946|Le Tournant décisif|Fridrikh Ermler|URSS
1946|La Symphonie pastorale|Jean Delannoy|France
1946|La Dernière Chance|Leopold Lindtberg|Suisse
1946|Les Hommes sans ailes|František Čáp|Tchécoslovaquie
1946|Rome, ville ouverte|Roberto Rossellini|Italie
1947|Ziegfeld Follies|Vincente Minnelli|USA
1947|Dumbo|Ben Sharpsteen|USA
1947|Les Maudits|René Clément|France
1947|Antoine et Antoinette|Jacques Becker|France
1947|Feux croisés|Edward Dmytryk|USA
1949|Le Troisième Homme|Carol Reed|Royaume-Uni
1951|Mademoiselle Julie|Alf Sjöberg|Suède
1951|Miracle à Milan|Vittorio De Sica|Italie
1952|Othello|Orson Welles|USA
1952|Deux sous d'espoir|Renato Castellani|Italie
1953|Le Salaire de la peur|Henri-Georges Clouzot|France
1954|La Porte de l'enfer|Teinosuke Kinugasa|Japon
1955|Martynote|Delbert Mann|USA
1956|Le Monde du silence|Jacques-Yves Cousteau et Louis Malle|France
1957|La Loi du Seigneur|William Wyler|USA
1958|Quand passent les cigognes|Mikhaïl Kalatozov|URSS
1959|Orfeu Negro|Marcel Camus|France
1960|La dolce vita|Federico Fellini|Italie
1961|Une aussi longue absence|Henri Colpi|France
1961|Viridiananote |Luis Buñuel|Espagne
1962|La Parole donnée|Anselmo Duarte|Brésil
1963|Le Guépard|Luchino Visconti|Italie
1964|Les Parapluies de Cherbourg|Jacques Demy|France
1965|Le Knack... et comment l'avoir|Richard Lester|Royaume-Uni
1966|Un homme et une femme|Claude Lelouch|France
1966|Ces messieurs dames|Pietro Germi|Italie
1967|Blow-Up|Michelangelo Antonioni|Italie
1969|If....|Lindsay Anderson|Royaume-Uni
1970|M*A*S*H|Robert Altman|USA
1971|Le Messager|Joseph Losey|Royaume-Uni
1972|La classe ouvrière va au paradis|Elio Petri|Italie
1972|L'Affaire Mattei|Francesco Rosi|Italie
1973|La Méprise|Alan Bridges|Royaume-Uni
1973|L'Épouvantail|Jerry Schatzberg|USA
1974|Conversation secrète|Francis Ford Coppola|USA
1975|Chronique des années de braise|Mohammed Lakhdar-Hamina|Algerie
1976|Taxi Driver|Martin Scorsese|USA
1977|Padre padrone|Paolo et Vittorio Taviani|Italie
1978|L'Arbre aux sabots|Ermanno Olmi|Italie
1979|Apocalypse Now|Francis Ford Coppola|USA
1979|Le Tambour|Volker Schlöndorff|Allemagne de l'Ouest
1980|Que le spectacle commence|Bob Fosse|USA
1980|Kagemusha, l'ombre du guerrier|Akira Kurosawa|Japon
1981|L'Homme de fer|Andrzej Wajda|Pologne
1982|Missingnote|Costa-Gavras|USA
1982|Yol, la permission|Yılmaz Güney et Şerif Gören|Turquie
1983|La Ballade de Narayama|Shōhei Imamura|Japon
1984|Paris, Texasnote |Wim Wenders|Allemagne de l'Ouest
1985|Papa est en voyage d'affaires|Emir Kusturica|Yougoslavie
1986|Mission|Roland Joffé|Royaume-Uni
1987|Sous le soleil de Satan|Maurice Pialat|France
1988|Pelle le Conquérant|Bille August|Danemark
1989|Sexe, Mensonges et Vidéo|Steven Soderbergh|USA
1990|Sailor et Lula|David Lynch|USA
1991|Barton Finknote |Joel Coen|USA
1992|Les Meilleures Intentions|Bille August|Suède
1993|Adieu ma concubine|Chen Kaige|Chine
1993|La Leçon de piano|Jane Campion|Nouvelle-Zélande
1994|Pulp Fiction|Quentin Tarantino|USA
1995|Underground|Emir Kusturica|Yougoslavie
1996|Secrets et Mensonges|Mike Leigh|Royaume-Uni
1997|Le Goût de la cerise|Abbas Kiarostami|Iran
1997|L'Anguille|Shōhei Imamura|Japon
1998|L'Éternité et Un Jour|Theo Angelopoulos|Grèce
1999|Rosetta|Luc et Jean-Pierre Dardenne|Belgique
2000|Dancer in the Dark|Lars von Trier|Danemark
2001|La Chambre du fils|Nanni Moretti|Italie
2002|Le Pianiste|Roman Polanski|Pologne
2003|Elephant|Gus Van Sant|USA
2004|Fahrenheit 9/11|Michael Moore|USA
2005|L'Enfant|Luc et Jean-Pierre Dardenne|Belgique
2006|Le vent se lève|Ken Loach|Royaume-Uni
2007|4 mois, 3 semaines, 2 jours|Cristian Mungiu|Roumanie
2008|Entre les murs|Laurent Cantet|France
2009|Le Ruban blanc|Michael Haneke|Autriche
2010|Oncle Boonmee, celui qui se souvient de ses vies antérieures|Apichatpong Weerasethakul|Thailande
2011|The Tree of Life|Terrence Malick|USA
2012|Amour|Michael Haneke|Autriche
2013|La Vie d'Adèle|Abdellatif Kechichenote 3|France
2014|Winter Sleep|Nuri Bilge Ceylan|Turquie
2015|Dheepan|Jacques Audiard|France
2016|Moi, Daniel Blake|Ken Loach|Royaume-Uni
2017|The Square|Ruben Östlund|Suède
2018|Une affaire de famille|Hirokazu Kore-eda|Japon
2018|Le Livre d'image (« Palme d'or spéciale »)|Jean-Luc Godard|Suisse
2019|Parasite|Bong Joon-ho|Corée du Sud
