num_ind;prenom;nom;date_naissance;film
1;Amy;Poehler;16/09/1971;Inside Out
2;Kirsten;Dunst;30/04/1982;Majo no takkyûbin
3;Saori;Hayami;29/05/1991;koe no katachi
4;Veronica;Taylor;04/12/1965;Gekijô-ban poketto monsutâ - Myûtsû no gyakushû 
5;Jodi;Benson;10/10/1961;The marvel experience
6;Laura;Bailey;28/05/1981;Thumbelina
7;Matthew;Wood;15/08/1972;Lego Star Wars: All-Stars
8;Hardie;Albright;16/12/1903;Bambi
9;Jay;Baruchel;09/04/1982;Dragons
10;Chieko;Baishô;29/06/1941;Hauru no ugoku shiro 
11;Daveigh;Chase;24/07/1990;Sen to Chihiro no kamikakushi
12;Cate;Blanchett;04/05/1969;Gake no ue no Ponyo
