nom ;prenom;role;films
Harris;Richard ;Dumbledore;HP 1
Harris;Richard ;Dumbledore;HP 2
Gambon;Michael ;Dumbledore;HP 3
Gambon;Michael ;Dumbledore;HP 4
Gambon;Michael ;Dumbledore;HP 5
Gambon;Michael ;Dumbledore;HP 6
Gambon;Michael ;Dumbledore;HP 7
Gambon;Michael ;Dumbledore;HP 8
Smith;Maggie ;Professor McGonagall;HP 1
Smith;Maggie ;Professor McGonagall;HP 2
Smith;Maggie ;Professor McGonagall;HP 3
Smith;Maggie ;Professor McGonagall;HP 4
Smith;Maggie ;Professor McGonagall;HP 5
Smith;Maggie ;Professor McGonagall;HP 6
Smith;Maggie ;Professor McGonagall;HP 7
Smith;Maggie ;Professor McGonagall;HP 8
Coltrane;Robbie;Hagrid;HP 1
Coltrane;Robbie;Hagrid;HP 2
Coltrane;Robbie;Hagrid;HP 3
Coltrane;Robbie;Hagrid;HP 4
Coltrane;Robbie;Hagrid;HP 5
Coltrane;Robbie;Hagrid;HP 6
Coltrane;Robbie;Hagrid;HP 7
Coltrane;Robbie;Hagrid;HP 8
Radcliffe;Daniel;Harry Potter;HP 1
Radcliffe;Daniel;Harry Potter;HP 2
Radcliffe;Daniel;Harry Potter;HP 3
Radcliffe;Daniel;Harry Potter;HP 4
Radcliffe;Daniel;Harry Potter;HP 5
Radcliffe;Daniel;Harry Potter;HP 6
Radcliffe;Daniel;Harry Potter;HP 7
Radcliffe;Daniel;Harry Potter;HP 8
Watson;Emma ;Hermione Granger;HP 1
Watson;Emma ;Hermione Granger;HP 2
Watson;Emma ;Hermione Granger;HP 3
Watson;Emma ;Hermione Granger;HP 4
Watson;Emma ;Hermione Granger;HP 5
Watson;Emma ;Hermione Granger;HP 6
Watson;Emma ;Hermione Granger;HP 7
Watson;Emma ;Hermione Granger;HP 8
Rickman;Alan ;Professor Snape;HP 1
Rickman;Alan ;Professor Snape;HP 2
Rickman;Alan ;Professor Snape;HP 3
Rickman;Alan ;Professor Snape;HP 4
Rickman;Alan ;Professor Snape;HP 5
Rickman;Alan ;Professor Snape;HP 6
Rickman;Alan ;Professor Snape;HP 7
Rickman;Alan ;Professor Snape;HP 8
Davis;Warwick ;Professor Filius Flitwick ;HP 1
Davis;Warwick ;Professor Filius Flitwick ;HP 2
Davis;Warwick ;Professor Filius Flitwick ;HP 3
Davis;Warwick ;Professor Filius Flitwick ;HP 4
Davis;Warwick ;Professor Filius Flitwick ;HP 5
Davis;Warwick ;Professor Filius Flitwick ;HP 6
Davis;Warwick ;Professor Filius Flitwick ;HP 7
