113497,15/12/1995,Jumanji,Joe Johnston,Robin Williams,Jonathan Hyde,Kirsten Dunst,Bradley Pierce,Bonnie Hunt,Bebe Neuwirth,David Alan Grier,Patricia Clarkson,Adam Hann-Byrd,Laura Bell Bundy,Robin Williams,Jonathan Hyde,Kirsten Dunst,Bradley Pierce,Bonnie Hunt,Bebe Neuwirth,David Alan Grier,Patricia Clarkson,Adam Hann-Byrd,Laura Bell Bundy
113228,22/12/1995,Grumpier Old Men,Howard Deutch,Walter Matthau,Jack Lemmon,Sophia Loren,Ann-Margret,Burgess Meredith,Daryl Hannah,Kevin Pollak,Katie Sagona,Ann Morgan Guilbert,James Andelin,Walter Matthau,Jack Lemmon,Sophia Loren,Ann-Margret,Burgess Meredith,Daryl Hannah,Kevin Pollak,Katie Sagona,Ann Morgan Guilbert,James Andelin
114885,22/12/1995,Waiting to Exhale,Forest Whitaker,Whitney Houston,Angela Bassett,Loretta Devine,Lela Rochon,Gregory Hines,Dennis Haysbert,Mykelti Williamson,Michael Beach,Leon,Wendell Pierce,Whitney Houston,Angela Bassett,Loretta Devine,Lela Rochon,Gregory Hines,Dennis Haysbert,Mykelti Williamson,Michael Beach,Leon,Wendell Pierce
113041,10/02/1995,Father of the Bride Part II,Charles Shyer,Steve Martin,Diane Keaton,Martin Short,Kimberly Williams-Paisley,George Newbern,Kieran Culkin,BD Wong,Peter Michael Goetz,Kate McGregor-Stewart,Jane Adams,Steve Martin,Diane Keaton,Martin Short,Kimberly Williams-Paisley,George Newbern,Kieran Culkin,BD Wong,Peter Michael Goetz,Kate McGregor-Stewart,Jane Adams
113277,15/12/1995,Heat,Michael Mann,Al Pacino,Robert De Niro,Val Kilmer,Jon Voight,Tom Sizemore,Diane Venora,Amy Brenneman,Ashley Judd,Mykelti Williamson,Wes Studi,Al Pacino,Robert De Niro,Val Kilmer,Jon Voight,Tom Sizemore,Diane Venora,Amy Brenneman,Ashley Judd,Mykelti Williamson,Wes Studi
114319,15/12/1995,Sabrina,Sydney Pollack,Harrison Ford,Julia Ormond,Greg Kinnear,Nancy Marchand,John Wood,Richard Crenna,Angie Dickinson,Lauren Holly,Dana Ivey,Miriam Colon,Harrison Ford,Julia Ormond,Greg Kinnear,Nancy Marchand,John Wood,Richard Crenna,Angie Dickinson,Lauren Holly,Dana Ivey,Miriam Colon
112302,22/12/1995,Tom and Huck,Peter Hewitt,Jonathan Taylor Thomas,Brad Renfro,Eric Schweig,Charles Rocket,Amy Wright,Michael McShane,Marian Seldes,Rachael Leigh Cook,Lanny Flaherty,Courtland Mead,Jonathan Taylor Thomas,Brad Renfro,Eric Schweig,Charles Rocket,Amy Wright,Michael McShane,Marian Seldes,Rachael Leigh Cook,Lanny Flaherty,Courtland Mead
114576,22/12/1995,Sudden Death,Peter Hyams,Jean-Claude Van Damme,Powers Boothe,Raymond J. Barry,Whittni Wright,Ross Malinger,Dorian Harewood,Kate McNeil,Michael Gaston,Audra Lindley,Brian Delate,Jean-Claude Van Damme,Powers Boothe,Raymond J. Barry,Whittni Wright,Ross Malinger,Dorian Harewood,Kate McNeil,Michael Gaston,Audra Lindley,Brian Delate
113189,16/11/1995,GoldenEye,Martin Campbell,Pierce Brosnan,Sean Bean,Izabella Scorupco,Famke Janssen,Joe Don Baker,Judi Dench,Robbie Coltrane,Tchéky Karyo,Gottfried John,Alan Cumming,Pierce Brosnan,Sean Bean,Izabella Scorupco,Famke Janssen,Joe Don Baker,Judi Dench,Robbie Coltrane,Tchéky Karyo,Gottfried John,Alan Cumming
112346,17/11/1995,The American President,Rob Reiner,Michael Douglas,Annette Bening,Martin Sheen,Michael J. Fox,Anna Deavere Smith,Samantha Mathis,Shawna Waldron,David Paymer,Anne Haney,Richard Dreyfuss,Michael Douglas,Annette Bening,Martin Sheen,Michael J. Fox,Anna Deavere Smith,Samantha Mathis,Shawna Waldron,David Paymer,Anne Haney,Richard Dreyfuss
