titre,realisateur,annee,genre
Ponce Pilate, Gian Paolo Callegari,1962,peplum
Barabbas,Richard Fleischer,1961,peplum
Cléopâtre,Joseph Mankiewicwz,1963,peplum
Jason et les Argonautes,Don Chaffey,1963,peplum
Caligula,Tinto Brass,1979,peplum
Gladiator,Ridley Scott,2000,peplum
Asterix et Obelix mission Cleopatre,Alain Chabat,2002,peplum
Troie,Wolfgang Petersen,2004,peplum
Ben-Hur,William Wyler,1959,peplum
Jules César,Joseph Mankiewicz,1953,peplum
Les Dix Commandements,Cecil B. DeMille,1956,peplum
Spartacus,Stanley Kubrick,1960,peplum
